Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
118;13460;"Learning Environments Research";journal;"15731855, 13871579";1,219;Q1;33;35;68;2094;184;68;2,33;59,83;Netherlands;Western Europe;"Springer Netherlands";"2003-2020";"Communication (Q1); Developmental and Educational Psychology (Q1); Education (Q1); E-learning (Q1)"
119;12859;"Cognition and Instruction";journal;"1532690X, 07370008";1,217;Q1;76;24;53;1640;186;45;3,13;68,33;United States;Northern America;"Routledge";"1984-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q2)"
120;21100911068;"School Psychology";journal;"25784226, 25784218";1,205;Q1;64;57;162;1932;418;142;2,81;33,89;United States;Northern America;"American Psychological Association Inc.";"2019-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
121;12100156129;"Learning Disabilities Research and Practice";journal;"15405826, 09388982";1,202;Q1;18;20;70;902;134;60;1,77;45,10;United States;Northern America;"Wiley-Blackwell";"2008, 2012-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Health (social science) (Q1)"
122;5800207893;"Language Learning and Development";journal;"15475441, 15473341";1,201;Q1;23;21;74;1130;135;72;2,07;53,81;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
123;21100301445;"Journal of Research on Technology in Education";journal;"19450818, 15391523";1,192;Q1;60;24;61;1209;200;61;1,93;50,38;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2001-2020";"Computer Science Applications (Q1); Education (Q1)"
124;12100156705;"Clinical Simulation in Nursing";journal;"18761399";1,184;Q1;36;78;272;2184;600;241;1,97;28,00;United States;Northern America;"Elsevier Inc.";"2008-2009, 2011, 2014, 2016-2020";"Education (Q1); Modeling and Simulation (Q1); Nursing (miscellaneous) (Q1)"
125;144669;"Journal of Intellectual Capital";journal;"14691930";1,184;Q1;80;49;126;4223;809;122;6,45;86,18;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2020";"Business, Management and Accounting (miscellaneous) (Q1); Education (Q1)"
126;19600156811;"International Journal of Artificial Intelligence in Education";journal;"15604292, 15604306";1,181;Q1;45;17;117;1033;465;111;4,08;60,76;United States;Northern America;"Springer US";"2000, 2003-2020";"Computational Theory and Mathematics (Q1); Education (Q1); E-learning (Q1)"
127;4700153607;"Journal of Curriculum Studies";journal;"13665839, 00220272";1,181;Q1;54;58;138;3503;275;133;1,96;60,40;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1968-1977, 1981-2020";"Education (Q1)"
128;26441;"Social Science Research";journal;"10960317, 0049089X";1,180;Q1;82;131;368;9377;937;364;2,32;71,58;United States;Northern America;"Academic Press Inc.";"1972-2020";"Education (Q1); Sociology and Political Science (Q1)"
129;28806;"Nurse Education Today";journal;"15322793, 02606917";1,178;Q1;72;213;966;6974;2820;860;3,11;32,74;United Kingdom;Western Europe;"Churchill Livingstone";"1981-2020";"Education (Q1); Nursing (miscellaneous) (Q1)"
130;21100200658;"Teacher Education and Special Education";journal;"08884064";1,175;Q1;8;33;53;1478;103;39;3,00;44,79;United Kingdom;Western Europe;"SAGE Publications Inc.";"2015-2020";"Education (Q1)"
131;5000158308;"CBE Life Sciences Education";journal;"19317913";1,173;Q1;60;85;302;4381;971;270;2,96;51,54;United States;Northern America;"American Society for Cell Biology";"2006-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Education (Q1)"
132;66374;"Journal of Educational Measurement";journal;"00220655";1,172;Q1;46;54;82;2228;149;78;1,65;41,26;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1964-2020";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1)"
133;23646;"Journal of Science Education and Technology";journal;"10590145, 15731839";1,170;Q1;56;54;170;2879;614;160;2,80;53,31;Netherlands;Western Europe;"Springer Netherlands";"1992-2002, 2004-2020";"Education (Q1); Engineering (miscellaneous) (Q1)"
134;28840;"Elementary School Journal";journal;"15548279, 00135984";1,166;Q1;72;29;87;1771;164;85;1,82;61,07;United States;Northern America;"University of Chicago";"1996-2020";"Education (Q1)"
135;12791;"Journal of Academic Librarianship";journal;"00991333";1,165;Q1;55;77;273;3246;532;262;1,80;42,16;United Kingdom;Western Europe;"Elsevier BV";"1988-2020";"Education (Q1); Library and Information Sciences (Q1)"
136;5600153363;"Equity and Excellence in Education";journal;"10665684";1,164;Q1;38;33;105;1745;177;95;1,13;52,88;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1963-1982, 1984, 1986-1988, 1991, 1993-2020";"Education (Q1)"
137;14871;"International Journal of Behavioral Development";journal;"01650254, 14640651";1,159;Q1;86;96;205;4577;522;202;2,21;47,68;United States;Northern America;"SAGE Publications Ltd";"1978-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Developmental Neuroscience (Q2)"
138;17600155502;"Journal of Computing in Higher Education";journal;"10421726, 18671233";1,158;Q1;31;45;83;2629;267;76;3,58;58,42;United States;Northern America;"Springer US";"1989-2020";"Education (Q1)"
139;19900191620;"Engineering Studies";journal;"19378629, 19408374";1,151;Q1;19;16;32;768;68;28;2,33;48,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2020";"Education (Q1); Engineering (miscellaneous) (Q1); History and Philosophy of Science (Q1)"
140;23017;"Second Language Research";journal;"14770326, 02676583";1,148;Q1;55;64;69;3521;179;66;2,59;55,02;United Kingdom;Western Europe;"SAGE Publications Ltd";"1985-2020";"Education (Q1); Linguistics and Language (Q1)"
141;16668;"School Effectiveness and School Improvement";journal;"09243453, 17445124";1,145;Q1;52;37;97;2201;242;93;2,07;59,49;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2020";"Education (Q1)"
142;12855;"Comparative Education";journal;"13600486, 03050068";1,140;Q1;53;32;85;2147;272;78;2,96;67,09;United Kingdom;Western Europe;"Routledge";"1964-2020";"Education (Q1)"
143;200147125;"Learning, Media and Technology";journal;"17439892, 17439884";1,133;Q1;42;46;102;2406;312;94;2,82;52,30;United Kingdom;Western Europe;"Routledge";"2005-2020";"Education (Q1); Media Technology (Q1)"
144;12099;"British Educational Research Journal";journal;"14693518, 01411926";1,123;Q1;84;82;178;4340;443;173;2,41;52,93;United Kingdom;Western Europe;"Routledge";"1978-2020";"Education (Q1)"
145;19700187630;"Critical Studies in Education";journal;"17508495, 17508487";1,119;Q1;31;56;108;3267;231;68;3,98;58,34;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2020";"Education (Q1)"
146;17781;"International Review of Research in Open and Distance Learning";journal;"14923831";1,118;Q1;61;75;294;2832;881;275;3,07;37,76;Canada;Northern America;"Athabasca University";"2000-2020";"Education (Q1); E-learning (Q1)"
147;19700200914;"Classroom Discourse";journal;"19463014, 19463022";1,108;Q1;8;28;50;1365;88;45;2,09;48,75;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2020";"Education (Q1)"
148;21100901143;"Perspectives on Medical Education";journal;"22122761, 2212277X";1,107;Q1;18;61;227;1734;380;161;2,57;28,43;Netherlands;Western Europe;"Bohn Stafleu van Loghum";"2012-2020";"Education (Q1); Medicine (miscellaneous) (Q1)"
149;5700164380;"Comunicar";journal;"11343478";1,092;Q1;32;40;120;1655;432;120;3,14;41,38;Spain;Western Europe;"Grupo Communicar Ediciones";"2008-2020";"Communication (Q1); Cultural Studies (Q1); Education (Q1)"
150;21100217601;"ZDM - International Journal on Mathematics Education";journal;"18639704, 18639690";1,082;Q1;36;113;245;5292;483;239;1,59;46,83;Germany;Western Europe;"Springer Verlag";"1997-2020";"Education (Q1); Mathematics (miscellaneous) (Q1)"
151;22281;"Reading and Writing";journal;"09224777, 15730905";1,076;Q1;69;120;275;7777;602;260;1,79;64,81;Netherlands;Western Europe;"Springer Netherlands";"1989-2020";"Education (Q1); Linguistics and Language (Q1); Speech and Hearing (Q1); Neuropsychology and Physiological Psychology (Q2)"
152;5000154503;"Thinking Skills and Creativity";journal;"18711871";1,074;Q1;36;74;209;4314;680;207;3,25;58,30;Netherlands;Western Europe;"Elsevier BV";"2006-2020";"Education (Q1)"
153;21100438184;"Journal of Pre-College Engineering Education Research";journal;"21579288";1,067;Q1;8;7;34;416;66;34;1,35;59,43;United States;Northern America;"Purdue University Press";"2014-2020";"Education (Q1); Engineering (miscellaneous) (Q1)"
154;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";1,066;Q1;22;42;130;2501;595;122;5,45;59,55;Colombia;Latin America;"Springer Netherlands";"2016-2020";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
155;12694;"International Journal of Science Education";journal;"09500693, 14645289";1,058;Q1;102;144;363;7533;853;358;2,18;52,31;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2020";"Education (Q1)"
156;5800207673;"ReCALL";journal;"09583440";1,058;Q1;48;23;58;1041;110;52;2,23;45,26;United Kingdom;Western Europe;"Cambridge University Press";"1989-2020";"Computer Science Applications (Q1); Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
157;12100;"British Journal of Educational Studies";journal;"00071005, 14678527";1,051;Q1;45;42;82;1864;218;72;2,50;44,38;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1952-2020";"Education (Q1)"
158;19700187632;"Physical Education and Sport Pedagogy";journal;"17408989, 17425786";1,050;Q1;31;43;129;2299;447;128;3,15;53,47;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)"
159;100147352;"Educational Measurement: Issues and Practice";journal;"17453992, 07311745";1,049;Q1;49;58;91;1594;130;64;1,87;27,48;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1982-2020";"Education (Q1)"
160;21100793810;"2016 IEEE 8th International Conference on Biometrics Theory, Applications and Systems, BTAS 2016";conference and proceedings;"-";1,038;-;11;0;59;0;216;56;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Education"
161;20934;"Sport, Education and Society";journal;"14701243, 13573322";1,033;Q1;59;129;208;6959;663;200;3,43;53,95;United Kingdom;Western Europe;"Routledge";"1996-2020";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)"
162;21100836847;"Preventing School Failure";journal;"1045988X, 19404387";1,024;Q1;11;41;94;1790;160;94;1,57;43,66;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996, 2014-2020";"Education (Q1); Developmental and Educational Psychology (Q2)"
163;23354;"Journal of Environmental Education";journal;"19401892, 00958964";1,023;Q1;52;41;90;2708;263;83;2,98;66,05;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2020";"Education (Q1); Environmental Science (miscellaneous) (Q1)"
164;12860;"Compare";journal;"14693623, 03057925";1,017;Q1;35;122;188;6641;380;150;2,36;54,43;United Kingdom;Western Europe;"Routledge";"1975-2020";"Education (Q1)"
165;21389;"International Journal of Technology and Design Education";journal;"15731804, 09577572";1,014;Q1;37;120;126;6339;334;123;2,11;52,83;Netherlands;Western Europe;"Springer Netherlands";"1990-2020";"Education (Q1); Engineering (miscellaneous) (Q1)"
166;144957;"Journal of Marketing Education";journal;"02734753, 15526550";1,010;Q1;53;28;58;1458;153;43;3,11;52,07;United States;Northern America;"SAGE Publications Inc.";"1979-2020";"Education (Q1); Marketing (Q1)"
167;11200153507;"Journal of Mixed Methods Research";journal;"15586898, 15586901";1,007;Q1;42;46;81;2106;292;62;4,04;45,78;United States;Northern America;"SAGE Publications Ltd";"2007-2020";"Education (Q1); Social Sciences (miscellaneous) (Q1); Statistics, Probability and Uncertainty (Q2)"
168;21100215706;"International Journal of Doctoral Studies";journal;"15568873, 15568881";1,006;Q1;19;37;58;2446;161;58;2,12;66,11;United States;Northern America;"Informing Science Institute";"2010-2020";"Education (Q1)"
169;21100398494;"Interdisciplinary Journal of Problem-based Learning";journal;"15415015";1,005;Q1;11;16;64;649;152;53;2,72;40,56;United States;Northern America;"Purdue University Press";"2015-2019";"Education (Q1)"
170;14761;"International Journal of Stress Management";journal;"10725245, 15733424";1,003;Q1;56;57;91;1974;253;81;2,95;34,63;United States;Northern America;"American Psychological Association Inc.";"1994-2020";"Business, Management and Accounting (miscellaneous) (Q1); Education (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Applied Psychology (Q2)"
171;22614;"Research in the Teaching of English";journal;"0034527X";1,000;Q1;35;13;70;502;110;66;1,76;38,62;United States;Northern America;"National Council of Teachers of English";"1996-2001, 2004-2019";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
172;13355;"Journal of Technical Writing and Communication";trade journal;"15413780, 00472816";0,999;Q1;17;26;61;1288;90;57;1,30;49,54;United States;Northern America;"SAGE Publications Inc.";"1971-1986, 1989, 1996-2019";"Communication (Q1); Education (Q1)"
173;5600155022;"Current Issues in Language Planning";journal;"14664208";0,993;Q1;20;37;73;1979;125;64;1,35;53,49;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
174;200147109;"Journal of Education for Teaching";journal;"13600540, 02607476";0,987;Q1;34;51;151;1586;322;129;2,20;31,10;United Kingdom;Western Europe;"Routledge";"1981-1998, 2001-2003, 2005-2020";"Education (Q1)"
175;23288;"Topics in Early Childhood Special Education";journal;"02711214, 15384845";0,977;Q1;52;36;56;1622;116;54;1,84;45,06;United States;Northern America;"SAGE Publications Inc.";"1981-2020";"Education (Q1); Public Health, Environmental and Occupational Health (Q1)"
176;23101;"Language and Education";journal;"09500782";0,969;Q1;41;36;101;1575;188;93;2,28;43,75;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
177;18950;"Journal of College Student Development";journal;"08975264, 15433382";0,968;Q1;72;44;232;1965;422;199;2,10;44,66;United States;Northern America;"Johns Hopkins University Press";"1996-2020";"Education (Q1)"
178;5700163852;"Globalisation, Societies and Education";journal;"14767724";0,965;Q1;25;51;123;3125;265;117;2,16;61,27;United Kingdom;Western Europe;"Routledge";"2010-2020";"Education (Q1)"
179;14200154735;"Educational Assessment, Evaluation and Accountability";journal;"18748597, 18748600";0,959;Q1;28;22;63;1511;128;48;1,47;68,68;Netherlands;Western Europe;"Springer Netherlands";"2009-2020";"Education (Q1); Organizational Behavior and Human Resource Management (Q1)"
180;12834;"Journal of Research in Reading";journal;"14679817, 01410423";0,959;Q1;49;30;118;1699;210;115;1,77;56,63;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-2020";"Education (Q1); Psychology (miscellaneous) (Q1); Developmental and Educational Psychology (Q2)"
181;19700180544;"Australasian Journal of Special Education";journal;"18336914, 10300112";0,951;Q1;11;0;20;0;41;18;2,11;0,00;United Kingdom;Western Europe;"Cambridge University Press";"2009-2017";"Education (Q1)"
182;17100154740;"Counselor Education and Supervision";journal;"00110035, 15566978";0,950;Q1;37;21;61;816;132;59;2,00;38,86;United States;Northern America;"Wiley-Blackwell";"1961-2020";"Clinical Psychology (Q1); Education (Q1); Developmental and Educational Psychology (Q2)"
183;14271;"Educational Psychology";journal;"14695820, 01443410";0,948;Q1;64;114;273;6014;566;241;2,34;52,75;United Kingdom;Western Europe;"Routledge";"1981-2020";"Education (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2)"
184;130100;"Journal of Educational Administration";journal;"09578234";0,948;Q1;55;62;116;3782;249;112;2,17;61,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1963-2020";"Education (Q1); Public Administration (Q1)"
